Filename,Scaled from,Scaled to,MSE,PSNR
cv_Density2_2592x1944.png,"(1944, 2592, 3)","(1440, 2560, 3)",0.0912,80.0512666666667
scale_algo_Density2_2592x1944.png,"(1944, 2592, 3)","(1440, 2560, 3)",692.0513,41.2498666666667
cv_testimg_2592x1944.png,"(1944, 2592, 3)","(1440, 2560, 3)",1.8387,67.0061666666667
scale_algo_testimg_2592x1944.png,"(1944, 2592, 3)","(1440, 2560, 3)",1627.0004,37.5373666666667
cv_Density_2592x1944.png,"(1944, 2592, 3)","(1440, 2560, 3)",17.4752,57.2270333333333
scale_algo_Density_2592x1944.png,"(1944, 2592, 3)","(1440, 2560, 3)",206.3203,46.5058333333333
cv_ColorDifferenceError_2592x1944.png,"(1944, 2592, 3)","(1440, 2560, 3)",0.3561,74.1355333333333
scale_algo_ColorDifferenceError_2592x1944.png,"(1944, 2592, 3)","(1440, 2560, 3)",561.8612,42.1549666666667
cv_reschart_2592x1944.png,"(1944, 2592, 3)","(1440, 2560, 3)",0.2395,75.8581666666667
scale_algo_reschart_2592x1944.png,"(1944, 2592, 3)","(1440, 2560, 3)",482.06,42.8202666666667
cv_Density2_2592x1944.png,"(1944, 2592, 3)","(720, 1280, 3)",0.7596,70.8453666666667
scale_algo_Density2_2592x1944.png,"(1944, 2592, 3)","(720, 1280, 3)",654.8534,41.4897666666667
cv_testimg_2592x1944.png,"(1944, 2592, 3)","(720, 1280, 3)",15.4516,57.7614666666667
scale_algo_testimg_2592x1944.png,"(1944, 2592, 3)","(720, 1280, 3)",1485.7989,37.9316666666667
cv_Density_2592x1944.png,"(1944, 2592, 3)","(720, 1280, 3)",48.1261,52.8274666666667
scale_algo_Density_2592x1944.png,"(1944, 2592, 3)","(720, 1280, 3)",108.3602,49.3025666666667
cv_ColorDifferenceError_2592x1944.png,"(1944, 2592, 3)","(720, 1280, 3)",2.2926,66.0479666666667
scale_algo_ColorDifferenceError_2592x1944.png,"(1944, 2592, 3)","(720, 1280, 3)",516.2072,42.5229666666667
cv_reschart_2592x1944.png,"(1944, 2592, 3)","(720, 1280, 3)",1.7557,67.2067666666667
scale_algo_reschart_2592x1944.png,"(1944, 2592, 3)","(720, 1280, 3)",453.5507,43.0849666666667
cv_Density2_2592x1944.png,"(1944, 2592, 3)","(480, 640, 3)",5.0496,62.6186666666667
scale_algo_Density2_2592x1944.png,"(1944, 2592, 3)","(480, 640, 3)",590.9257,41.9358666666667
cv_testimg_2592x1944.png,"(1944, 2592, 3)","(480, 640, 3)",62.9872,51.6587333333333
scale_algo_testimg_2592x1944.png,"(1944, 2592, 3)","(480, 640, 3)",1324.9225,38.4293666666667
cv_Density_2592x1944.png,"(1944, 2592, 3)","(480, 640, 3)",79.0104,50.6743666666667
scale_algo_Density_2592x1944.png,"(1944, 2592, 3)","(480, 640, 3)",70.9064,51.1443666666667
cv_ColorDifferenceError_2592x1944.png,"(1944, 2592, 3)","(480, 640, 3)",9.0765,60.0720666666667
scale_algo_ColorDifferenceError_2592x1944.png,"(1944, 2592, 3)","(480, 640, 3)",447.6385,43.1419666666667
cv_reschart_2592x1944.png,"(1944, 2592, 3)","(480, 640, 3)",9.9288,59.6822666666667
scale_algo_reschart_2592x1944.png,"(1944, 2592, 3)","(480, 640, 3)",410.8469,43.5144666666667
cv_Density2_2592x1944.png,"(1944, 2592, 3)","(1080, 1920, 3)",0.0874,80.2361666666667
scale_algo_Density2_2592x1944.png,"(1944, 2592, 3)","(1080, 1920, 3)",868.3575,40.2642666666667
cv_testimg_2592x1944.png,"(1944, 2592, 3)","(1080, 1920, 3)",2.0205,66.5966666666667
scale_algo_testimg_2592x1944.png,"(1944, 2592, 3)","(1080, 1920, 3)",2514.1279,35.6473666666667
cv_Density_2592x1944.png,"(1944, 2592, 3)","(1080, 1920, 3)",16.2643,57.5388666666667
scale_algo_Density_2592x1944.png,"(1944, 2592, 3)","(1080, 1920, 3)",157.6231,47.6750666666667
cv_ColorDifferenceError_2592x1944.png,"(1944, 2592, 3)","(1080, 1920, 3)",0.3133,74.6916666666667
scale_algo_ColorDifferenceError_2592x1944.png,"(1944, 2592, 3)","(1080, 1920, 3)",773.1436,40.7686666666667
cv_reschart_2592x1944.png,"(1944, 2592, 3)","(1080, 1920, 3)",0.2413,75.8256666666667
scale_algo_reschart_2592x1944.png,"(1944, 2592, 3)","(1080, 1920, 3)",669.8084,41.3917666666667
